Question title,Question body,label
Regarding the application of the 3rd Lease Act.,"Hello, I would like to contact you to find out whether the 3rd Lease Act is applicable. The law does not provide detailed information, so it seems that it is a part that needs to be interpreted, so I would like to inquire like this.<Relationship> A trainee living in an LH installment rental apartment, which was confirmed for early sale in May of this year (author)-About two years ago, LH, tenant The person who will be) and the trainee (author) made a legal sublease contract under the agreement of the LH center, and after that, they made a worldwide agreement with the tenant through real estate, and the deadline is until September this year. <Situation> Early pre-sale in May of this year. As the tenant becomes the landlord in May, the relationship with LH will disappear.- As the sublease contract is terminated in LH, the contract between the tenant and the tenant does not actually apply to the 3rd Lease Act, and is new after May. The current tenant's insistence that a new contract with the landlord should be signed.- The author's argument is that although the tenant-tenant relationship disappears, the right of the contract will not be extinguished if the tenant becomes a tenant. Since the landlord is in May, there is only 4 months left until September, so the author can request a renewal of the contract as it is. This is the situation. I wonder if you can support my claim in this case legally. Thank you in advance.",monthly
Conditions of eligibility for happy housing occupancy,"1. I'm trying to apply for the Youth Happiness Housing, but I'm in the military and I'm not doing anything right now. Is it a qualification condition in this case? Or do I have to get a job at a job with an income?2. Is it difficult to win the Seoul Happy Housing as a second priority? 3. Where can I see the schedule for the announcement of the Happy Housing? 4. Is it easy to get a loan when asked for a Happy Housing? 5. What is the general supply and what is the priority supply?","Sales, subscription"
Eye X mat. Households with consideration of interfloor noise,"In the mailbox of the apartment, it is said that the inter-floor noise consideration is attached. Is it the right idea that the subject that generates the noise is considerate? ㅋㅋㅋㅋㅋㅋㅋ Is it the right idea to take care of the damage? I know you'll suffer from noise? So I'll be considerate. Does the victim's position give consideration and understanding, the victim's position is considerate? We were matte and considerate of you. We are so considerate.? Please let me know what consideration is",administration
I'm going to ask the realtor brothers.,"I was a little annoyed before I wrote this. A few weeks ago, I asked to leave the house where I live, and while I was looking for a house, I visited the house saying that there is a house that can be relocated to the youth. I have made a down payment to the young people, so I made a down payment on the contract, and the contract is in a state of confirmation. However, if I told the realtor that I would see the balance and check in before the day of moving in, I would report it by myself if you tell me that you are not on vacation I'm going to say that I won't do it until I pay the balance, but I'm angry, so if you have a big problem on the day you move in, you can do something about it. When you go nearby, they tell you off-time over the phone. Is it because what is the hell or did I do something wrong?? It's not my money because it's a private house, but it costs a lot of money, but can't I say this as a tenant?",contract
Can I receive compensation for interior floor noise,"Because of my job characteristics, I was sleeping at dawn, but from 10 am, the house suddenly shook like crazy, and the sound of the drill was so loud. So, when I saw the paper on the elevator, it was downstairs. But if I just woke up due to construction noise, I wouldn't say much. I think it's really noisy.. Can this be compensated by telling the interior house or the owner of the house? I will. (The sound is a little small because the phone is bad, but you can think that it is about 10 times louder than the recorded one + the whole house is trembling..)",administration
Automatic cancellation of officetel housing rental business?,"A notice of automatic cancellation of the officetel rental business came in, but there are currently no other real estates other than two rental officetels. Should I register as a rental business again? 2. Should I give a rental without registering as a rental business? I can't figure out which one is right~ What should I do?",Trading
One-room contract expiration,"On June 20 last year, I signed a short-term 8-month contract for a studio through a broker. So, I contacted the landlord that the contract was until February 10th, so I had removed all the luggage in advance. I didn't notify me because I saw that the contract will be canceled if it is not notified two months before the expiration of the contract. When I lived, the timing was ambiguous, so I was going to change it to February 10th, and because I was a college student, I was going to add the above information. As a phone in a hurry, the words could not be communicated properly. Please answer me.",contract
When looking for a home,"I'm looking at the Peter Pan room search app, but there is a direct transaction e-contract. When the e-contract is reliable, it asks you to report a move-in and receive a fixed date. I'm not sure about this, so I would appreciate it if you can easily tell me in detail.",contract
Landlord and security deposit issues,"I am going to move due to the expiration of the contract. Internet set-top box is lost. I remember it wasn't even when I came in, but the contract says that the internet set-top box is also included, so the landlord didn't check the set-top box with me, so it was like I lost it. Ask them to send you a picture or proof. The deposit is over 1 million won, so I have to get it back. Is there any way to report or resolve it other than reimbursement?",contract
Officetel rental business registration 4~8 years?,"The building was registered as a rental business in 2016, and the building is located in Seoul. It is an officetel and its size (exclusive area) is 18.13m^2. The type of private rental housing on the registration certificate states that the type of completed rental housing is semi-housing (officetel) (purchased). The rental business knows that the short term is 4 years and the long term is 8 years. The house is 8 years old, but when I tried to register for a rental home this time, the rental company didn't register, so when I applied again it said that it expired... I want to know if it is 4 or 8 years.",Trading
